case_id,event_date,primary_entity_name,location,scheme_tags,amount_text,source_titles,source_urls,downloaded_docs_count,i990_matched,i990_match_score,ein,i990_org_name,i990_state,i990_ntee_cd,i990_latest_tax_year,i990_latest_revenue,i990_latest_assets,risk_total_score,risk_tier,usaspending_matched,usaspending_recipient_name,usaspending_recipient_id,usaspending_uei,usaspending_duns,usaspending_agencies,sam_matched,sam_legal_business_name,sam_uei,sam_cage,sam_registration_status
splc-2026,2026-04-21,SOUTHERN POVERTY LAW CENTER,"Montgomery, AL",donor-fund-misuse|fictitious-entities|bank-false-statements|concealment-money-laundering|counterparty-risk,more than $3 million,"Federal Grand Jury Charges Southern Poverty Law Center for Wire Fraud, False Statements, and Conspiracy to Commit Money Laundering",https://www.justice.gov/opa/pr/federal-grand-jury-charges-southern-poverty-law-center-wire-fraud-false-statements-and,2,True,100,630598743,SOUTHERN POVERTY LAW CENTER INC,AL,I83Z,2023,129063290,822198315,0,0,True,SOUTHERN POVERTY LAW CENTER,d6b3baaa-a86d-29ea-d036-a72ccefbd3d4-C,H2GRQHMF6A63,078962198,Department of State:8500.0|Department of Homeland Security:480.0,True,SOUTHERN POVERTY LAW CENTER,H2GRQHMF6A63,3VAG6,Inactive
encouraging-leaders-2026,2026-01-09,ENCOURAGING LEADERS,"Minneapolis, MN",grant-fraud|false-progress-reports|fabricated-events|false-beneficiary-counts,,,https://www.justice.gov/usao-mn/pr/minneapolis-non-profit-director-charged-fraud,1,True,100,844229585,ENCOURAGING LEADERS,MN,O50,2023,728698,205986,6,3,True,ENCOURAGING LEADERS,7b944895-df7b-b43f-2498-bbc4b51c661c-R,UD37JS3HKKT5,117478648,Department of Justice:702864.0|Small Business Administration:7136.0|Department of Health and Human Services:0.0,True,ENCOURAGING LEADERS,UD37JS3HKKT5,8RN33,Inactive
community-academic-success-2026,2026-04-08,CENTER FOR COMMUNITY ACADEMIC SUCCESS PARTNERSHIPS,"Chicago area, IL",grant-fraud|americorps-fraud|sham-subcontractors|double-dipping|budget-inflation,$1.9 million,,https://www.justice.gov/usao-ndil/pr/former-executive-chicago-area-non-profit-sentenced-prison-19-million-fraud-schemes,1,True,100,384137760,SOUTH SUBURBAN COMMUNITY SERVICES,IL,B80,,,,,,True,CENTER FOR COMMUNITY ACADEMIC SUCCESS PARTNERSHIPS,8a40e61d-818d-3c58-8964-df6c224281cd-R,,,Small Business Administration:23882.18,True,SOUTH SUBURBAN COMMUNITY SERVICES,HUPRANJ1NSH7,8PJN7,Inactive
philadelphia-religious-nonprofit-2026,2026-03-03,PHILADELPHIA RELIGIOUS NONPROFIT FUND,"Philadelphia, PA",beneficiary-fund-theft|false-ledgers|luxury-spending|money-laundering,more than $1.6 million,|,https://www.justice.gov/usao-edpa/pr/former-executive-director-philadelphia-non-profit-fund-charged-stealing-over-16|https://www.justice.gov/usao-edpa/pr/former-philadelphia-nonprofit-executive-pleads-guilty-fraud-and-money-laundering,2,False,0,,,,,,,,,,False,,,,,,False,,,,
special-needs-trust-2025,2025-06-24,CENTER FOR SPECIAL NEEDS TRUST ADMINISTRATION,Florida,slush-fund|false-account-statements|trust-diversion|money-laundering-conspiracy,over $100 million,,https://www.justice.gov/usao-mdfl/pr/florida-non-profit-founder-and-accountant-charged-stealing-over-100-million-special,1,False,0,,,,,,,,,,True,"THE CENTER FOR SPECIAL NEEDS TRUST ADMINISTRATION, INC.",e194ed63-05cd-3076-cf39-c84f170beb80-R,,,Small Business Administration:301677.11,False,,,,
viet-america-society-2025,2025-06-06,VIET AMERICA SOCIETY,"Orange County, CA",grant-fraud|bribery|controlled-entities|concealment-laundering,,,https://www.justice.gov/usao-cdca/pr/founder-oc-based-non-profit-charged-15-count-indictment-alleging-he-bribed-county,1,False,0,,,,,,,,,,False,,,,,,True,VIET AMERICA SOCIETY,LNVBDCMZZGQ5,91YS6,Inactive
bay-city-theatre-2025,2025-09-23,BAY CITY STATE THEATRE,"Bay City, MI",mission-fund-diversion|fictitious-board-minutes|fake-invoices|fraudulent-grant-replenishment,,,https://www.justice.gov/usao-edmi/pr/former-non-profit-executive-director-and-city-development-official-pleads-guilty,1,False,0,,,,,,,,,,False,,,,,,False,,,,
washington-crime-victim-advocates-2024,2024-07-17,WASHINGTON COALITION OF CRIME VICTIM ADVOCATES,Washington,grant-fraud|false-invoices|no-show-executive|salary-extraction,,,https://www.justice.gov/usao-wdwa/pr/woman-who-fraudulently-used-state-grant-monies-sentenced-probation-and-home,1,False,0,,,,,,,,,,False,,,,,,False,,,,
blm-greater-atlanta-2024,2024-10-06,BLACK LIVES MATTER OF GREATER ATLANTA,Georgia,donation-diversion|personal-spending|real-estate-concealment|money-laundering,,,https://www.justice.gov/usao-ndoh/pr/blm-activist-sentenced-prison-wire-fraud-and-money-laundering,1,False,0,,,,,,,,,,False,,,,,,False,,,,
michele-fiore-charity-2024,2024-07-17,FIRENZA MEMORIAL CHARITY FUND,"Las Vegas, NV",charity-fraud|donor-use-misrepresentation|personal-spending,,,https://www.justice.gov/archives/opa/pr/former-las-vegas-city-councilwoman-charged-charity-fraud-scheme,1,False,0,,,,,,,,,,False,,,,,,False,,,,
citadel-community-2024,2024-05-07,CITADEL COMMUNITY DEVELOPMENT CORPORATION,California,federal-grant-embezzlement|personal-spending|crypto,,,https://www.justice.gov/usao-cdca/pr/former-inland-empire-nonprofit-ceo-arrested-indictment-alleging-she-embezzled-federal,1,False,0,,,,,,,,,,True,CITADEL COMMUNITY DEVELOPMENT CORPORATION,a93ad47c-bd30-5032-3f05-39ce8dbea0b8-R,M8XJSTZ2L5G9,078400204,Department of Labor:5945000.0|Department of Health and Human Services:300000.0|Small Business Administration:10000.0,True,CITADEL COMMUNITY DEVELOPMENT CORPORATION,ZGZLCNM7Q278,9PA85,Active
latino-coalition-foundation-2023,2023-04-21,LATINO COALITION FOUNDATION,"San Antonio, TX",donation-diversion|false-990|insider-bank-control,,,https://www.justice.gov/usao-wdtx/pr/former-nonprofit-leader-pleads-guilty-fraud-san-antonio,1,False,0,,,,,,,,,,True,THE LATINO COALITION FOUNDATION,4afec046-ceba-aaeb-1b36-3f50afe24dde-R,,,Small Business Administration:17752.59,True,"Latino Coalition Foundation, The",Z4ALHNFUE715,92C05,Inactive
douglas-sailors-charity-network-2022,2022-11-04,CANCER FUND OF AMERICA,Florida / national,nominee-directors|lookalike-charities|management-company-extraction|tax-fraud,millions of dollars,,https://www.justice.gov/usao-sdfl/pr/charity-operator-charged-diverting-millions-dollars-charitable-funds-and-evading,1,False,0,,,,,,,,,,False,,,,,,False,,,,
on-your-feet-2020,2020-03-13,ON YOUR FEET FOUNDATION,California,donor-fraud|false-charitable-returns|personal-spending|tax-evasion,,,https://www.justice.gov/usao-sdca/pr/charity-founders-plead-guilty-using-non-profit-defraud-donors-and-illegally-evade-taxes,1,True,100,863052907,ON YOUR FEET FOUNDATION INC,CA,E99,,,,,,True,ON YOUR FEET FOUNDATION,2abf5f6a-be51-091e-ec7d-908a60214e0c-R,,,Small Business Administration:54194.57,True,FAMILY RESOURCE CENTER INC,Q6ZSCQJGLM45,,Active
montana-native-womens-coalition-2019,2019-08-29,MONTANA NATIVE WOMEN'S COALITION,Montana,federal-grant-theft|travel-fraud|duplicate-payments|internal-control-failure,,,https://www.justice.gov/usao-mt/pr/montana-native-women-s-coalition-board-ex-chairwoman-charged-fraud-embezzlement-grant,1,False,0,,,,,,,,,,True,MONTANA NATIVE WOMEN'S COALITION,50c06969-7188-07db-c6f2-e1e1bfc806da-R,,,Department of Justice:250000.0,False,,,,
providence-plan-2017,2017-03-22,PROVIDENCE PLAN,"Providence, RI",forged-checks|insider-owned-vendor|grant-diversion|casino-withdrawals,,,https://www.justice.gov/usao-ri/pr/former-finance-director-pleads-guilty-embezzlement,1,False,0,,,,,,,,,,True,PROVIDENCE PLAN THE,c36d861f-0746-7f62-bf58-14dcf1793b4c-R,MFT3D3VBLN33,111760591,Department of Education:37473101.28|Department of Labor:7459811.07|Department of Health and Human Services:1500000.0|Department of Agriculture:712734.0|Department of Housing and Urban Development:378300.0|Small Business Administration:366585.6|Corporation for National and Community Service:200000.0|Department of Justice:190446.0,True,PROVIDENCE PLAN THE,MFT3D3VBLN33,36RS9,Inactive
birmingham-health-care-2016,2016-06-17,BIRMINGHAM HEALTH CARE,Alabama,federal-grant-funneling|controlled-companies|bank-fraud|money-laundering,millions of dollars,,https://www.justice.gov/usao-ndal/pr/federal-jury-convicts-former-non-profit-health-clinics-ceo-funneling-millions-grant,1,False,0,,,,,,,,,,True,CENTRAL ALABAMA COMPREHENSIVE HEALTH INC,5405b938-e42d-f936-7d01-b7192d42b093-C,QXWBFTSN3MK3,622840254,Department of Health and Human Services:6718909.0|Small Business Administration:5232.0,True,CENTRAL ALABAMA COMPREHENSIVE HEALTH INC,QXWBFTSN3MK3,3MGJ0,Inactive
frontline-initiative-2015,2015-09-11,FRONTLINE INITIATIVE,Pennsylvania,donation-diversion|grant-diversion|personal-spending|false-tax-returns,,,https://www.justice.gov/usao-wdpa/pr/charity-director-admits-using-funds-personal-use-filing-false-tax-returns,1,False,0,,,,,,,,,,False,,,,,,False,,,,
national-relief-charities-2013,2013-10-21,NATIONAL RELIEF CHARITIES,Oregon / national,charity-to-charity-pass-through|false-financial-statements|scholarship-pretext|money-laundering,$4 million,,https://www.justice.gov/usao-or/pr/former-president-national-charity-arrested-and-charged-4-million-fraud-and-money,1,False,0,,,,,,,,,,False,,,,,,True,NATIONAL RELIEF CHARITIES,JM1WLMZKLJX7,67HE1,Inactive
keelys-district-boxing-2013,2013-06-26,KEELY'S DISTRICT BOXING AND YOUTH CENTER,"Washington, DC",grant-diversion|gambling|personal-expenses,"more than $200,000",,https://www.justice.gov/usao-dc/pr/executive-director-non-profit-pleads-guilty-wire-fraud-admits-using-more-200000-grants,1,False,0,,,,,,,,,,False,,,,,,False,,,,
global-missions-2013,2013-05-21,GLOBAL MISSIONS,California,charity-fraud|donor-fraud|luxury-spending|money-laundering,$33.7 million restitution,,https://www.justice.gov/usao-ndca/pr/oakland-man-sentenced-121-months-and-ordered-pay-337-million-charity-fraud-scheme,1,False,0,,,,,,,,,,False,,,,,,False,,,,
usa-harvest-2013,2013-01-09,USA HARVEST,Kentucky,donation-theft|travel-spending|entertainment-spending|money-laundering|tax-fraud,,,https://www.justice.gov/usao-wdky/pr/founder-usa-harvest-charged-seven-count-federal-indictment-charges-include-stealing,1,False,0,,,,,,,,,,False,,,,,,False,,,,
